Bohrung	chk_PV	UWI	Schlüssel	Art	Qmax	V	Vcum	TKmax	TTKPmax	BHTmax	TRESmax	chk1	TRES_TR	RTG_TR	Z1_mTVD_TR
Dürrnhaar Gt1	LZPIV	DH1	DH1LZPIV	TKP	100	96949	137703.18	135.5	139.3	141.2	141.2	1	141.2	38.22094692	3485
Dürrnhaar Gt2a	KZPV4	DH2a	DH2aKZPV4	Airlift	80	17407.91	34179.27	118.6	#NV	132	132	1	132	34.85593816	3557.5
Aschheim Th1	LZPIV	ASH1	ASH1LZPIV	TKP	#NV	63464.07	86357.296	83.1	83.1	85.9	85.9	1	85.9	36.56418681	2130.5
Aschheim Th2	KZPV3	ASH2	ASH2KZPV3	Airlift	#NV	#NV	#NV	#NV	#NV	85.76	85.76	1	85.76	37.67806958	2063.8
Unterföhring Th1	KZPV4	UFR1	UFR1KZPV4	Airlift	30	9356.5	16821.5	76.9	#NV	87.5	87.5	1	87.5	40.60265577	1958
Unterföhring Th2	BP1	UFR2	UFR2BP1	TKP	#NV	#NV	#NV	87	89.2	#NV	89.2	1	89.2	41.22036652	1969.9
Unterföhring Th4	LZPIV	UFR4	UFR4LZPIV	TKP	#NV	#NV	#NV	93	95.4	#NV	95.4	1	95.4	43.0775297	2028.9
Unterföhring Th3	KZPV3	UFR3	UFR3KZPV3	Airlift	#NV	#NV	18183.6	77.6	83.76	83.85	83.85	1	83.85	37.95536429	1998.4
Riem Th1	KZPV1	RIEM1	RIEM1KZPV1	Airlift	#NV	#NV	#NV	#NV	95.55	#NV	95.55	1	95.55	33.32445189	2627.2
Riem Th2	BP2	RIEM2	RIEM2BP2	TKP	#NV	#NV	#NV	#NV	#NV	95.9	95.9	1	95.9	35.03387804	2509
Pullach Th1a	KZPV1	PULL1a	PULL1aKZPV1	#NV	#NV	#NV	#NV	#NV	#NV	104.6	104.6	1	104.6	34.27719821	2818.2
Pullach Th2	KZPV2	PULL2	PULL2KZPV2	#NV	#NV	#NV	#NV	#NV	#NV	108.3	108.3	1	108.3	34.04396865	2946.19
Pullach Th3	KZPV2	PULL3	PULL3KZPV2	TKP	80	#NV	#NV	110.3	111.4	116.23	116.23	1	116.23	36.19163543	2990.47
Sauerlach Th1a	BP4	SAU1a	SAU1aBP4	TKP	#NV	#NV	#NV	#NV	144.9	#NV	144.9	1	144.9	36.28412404	3773
